name,price,status,shipping,free_returns,itemssold
pioneer plasma tv pdp - 6070u,50000,Pre-Owned,550,False,
"Samsung 6100 Series UN50ES6100F 50"" 1920 x 1080 120Hz LED TV LA Local Pickup",16624,Pre-Owned,,False,0
"SuperSonic 14"" Portable LED TV w/ USB, SD, HDMI AC/DC Rechargeable Battery Radio",13900,Brand New,0,True,0
"32"" Seiki Color LCD TV  ",8500,Pre-Owned,,False,
Sylvania CRT Television 4913CLT Retro Gaming Portable TV 13” + Remote 1999 WORKS,12500,Pre-Owned,2000,False,
"Sylvania Television 13"" CRT TV Television Retro Video Gaming AV Input NO REMOTE ",8074,Pre-Owned,7493,False,0
"Magnavox CD130MW8 13"" CRT Television Read Description DVD PLAYER DOESN'T WORK",5728,Pre-Owned,6942,False,
"2003 Gamer 20"" Sony Trinitron vtg Television CRT TV + Remote TESTED Gaming AV",35777,Pre-Owned,9757,False,
1970's Vintage Sony Triniton CRT Television Retro Gaming TV KV-1542R & Remote,29977,Parts Only,12999,False,
"2005 Toshiba 14AF45 14"" CRT Retro Gaming Color TV Flat screen Tested with REMOTE",24999,Pre-Owned,,False,
"Sony BRAVIA KDL46BX450 46"" Full HD 1080p Refresh Rate 60Hz LCD TV ",4200,Pre-Owned,6729,False,0
"New ListingSamsung CXJ1352 13"" CRT TV VCR Combo Retro Gaming Gamer Television With Remote",11290,Pre-Owned,2863,False,
"Vintage Retro Gaming CRT Color TV TRUTECH 13"" CRT Television 2006 DW13TT Working",12999,Pre-Owned,0,False,
"Toshiba 13A25 13"" CRT TV Color Television Retro Gaming TV Tested Works w/ Remote",6999,Pre-Owned,8447,False,
"Sony Trinitron  KV-27FS13 27"" CRT TV RetroGaming Television With Remote Works",34595,Pre-Owned,29500,False,
Sony Bravia KDL-46XBR2 Flat Screen TV 1080P ,14600,Pre-Owned,,False,0
Sony KD75X85J X85J 75 Inch Class HDR 4K UHD Smart LED TV 2021 Model Year,199800,Brand New,0,False,0
Samsung BET-H Series 65 Inch Crystal 4K UHD Pro Commercial LED TV,77000,Brand New,0,False,0
"New ListingProScan PLED2435A-H 24"" Full HD 1080p LED TV",8900,Pre-Owned,2200,False,
" Casio TV-470 2"" LCD Television (FREE SHIPPING)",2000,Pre-Owned,0,False,
"SYMPHONIC SC3913 13"" CRT TV/VCR/RetroGaming Television no remote not working VCR",3498,Pre-Owned,9082,False,
"Coby CX-TV6 5"" 480i CRT Television - Pre-Owned",4299,Pre-Owned,3140,True,
"13"" Magnavox CRT Television w/ Front A/V Inputs for Gaming - NO REMOTE",7000,Pre-Owned,3131,False,
"Orion TVDVD092 9"" CRT TV/DVD Player Combo Retro Gaming Tested Working No Remote",6900,Pre-Owned,6714,False,0
"Vintage Sony Trinitron KV-13M42 13"" CRT TV Retro Gaming ~ Tested Working",13500,Pre-Owned,18192,False,
"Zenith TVBR1942Z 19"" Color TV VCR Combo CRT Television RETRO GAMING W/ Remote",11875,Pre-Owned,18234,False,
Samsung BET-H Series 70 Inch Crystal 4K UHD Pro Commercial LED TV,92999,Brand New,0,False,0
New ListingFOR PARTS VIZIO D Series 32 Inch Class HD 720p LED Television 60Hz D32hn-E0,2546,Parts Only,0,True,
"Vintage Sony Trinitron KV-1923 19"" CRT Television",40000,Pre-Owned,12590,False,0
"Pioneer Elite Kuro PRO-151FD 60"" 1080p HD Plasma Television",40000,Pre-Owned,,False,
"Toshiba 13"" CRT TV Color Television Retro Gaming w/ remote",9400,Pre-Owned,3000,False,
Sylvania 13 Inch CRT TV W/  FM Built-In Radio W6413TC Great Condition RARE!!!!!,4875,Pre-Owned,3500,False,
