name,price,status,shipping,free_returns,itemssold
Coffee table lacquered chinoiserie furniture French living room antique style,208063,,0,True,
"UNUSUAL LARGE COFFEE TABLE BY ANTHONY REDMILE, LONDON c.1970",889666,Pre-Owned,0,False,
Maison Jansen Hexagonal Chrome Brass Coffee Table Hollywood Regency Modern,75000,,0,False,
Vintage Italian Victorian Marble Wood Coffee & End Table￼ Ornate Baroque French,79500,Pre-Owned,,False,
"STYLISH MAISON JANSEN ILLUMINATING COFFEE TABLE, FRANCE c.1970",350066,,0,False,0
La Barge Vintage Oval Glass Hoof Foot Hollywood Regency Coffee Table,67900,Pre-Owned,,False,
Baker Barbara Barry Coctail Coffee Table ,89500,,,False,
Henkel Harris Solid Wild Black Cherry Coffee Table,59900,,,False,
Faux Bamboo Chinoiserie Removable Tray Top Coffee Table Baker Style,25500,,42430,False,
Elegant 1960's ITALIAN Fontana Arte Style Glass Coffee Table with Brass Legs,45000,,,False,
Antique 19th C Swedish EMPIRE Round PURPLE MARBLE Top DOLPHIN COFFEE TABLE,63750,,,False,0
Mid Century Modern Lane Perception Coffee Table by Warren Church 56” VGC,67500,Pre-Owned,20000,False,
Vintage Neoclassical Style Brass Base Coffee Table,59500,Pre-Owned,,False,
Antique Vintage Coffee Table Made in India Rosewood Bone Inlay Elephant Figures,29500,Pre-Owned,5637,False,
Lou Hodges Mid Century Vintage California Solid Oak Coffee Table ,95000,Pre-Owned,100,False,0
A Las Palmas Design 'Grille' Parcel Gilt and Ebonized Coffee Table,194150,,19600,False,
Danish Modern Tile Coffee Table Teak by Gangso,15000,Pre-Owned,9500,False,
Vintage Wheat Sheaf Coffee Side Table Gold Gilt Hollywood Regency Mid Century ,79500,,,True,0
Vintage Sherill Furniture Coffee Table Top Drawer Round Chippendale ,81590,,,False,
French Balcony Coffee Table,67500,Pre-Owned,,False,
Vintage Antique Wood Coffee Table Log Slab 3 Legs ,24000,Pre-Owned,,False,
"Cherry Rosewood Asian Style Coffee Table 54” Long Vintage, Includes Glass Top",30000,Pre-Owned,,False,
Baker Chippendale Style Mahogany Butlers Coffee Table,96500,Pre-Owned,,False,
VINTAGE MID CENTURY LIVE EDGE WOOD COFFEE TABLE CALIFORNIA REDWOOD 67X40,89999,,,False,0
"New ListingAntique Imperial Furniture Mahogany Glass Two Tier Oval Coffee Side Table 34""",68000,,0,False,
Coffee table lacquered chinoiserie furniture side table living room wood 900,185831,,0,True,
"Table, Ship's Wheel, Coffee, Glass Top, Unusually Carved Mahogany, 1900's!  ",139500,Pre-Owned,,False,
Antique  HERITAGE  Mahogany Leather Top COFFEE TABLE  1960’s...,32500,Pre-Owned,10915,False,
Iron glass top coffee table furniture sample GREAT,20000,,,False,
Antique Quartered Oak Coffee Table Expandable Extension,48500,,14000,False,
Vintage Bernhardt Furniture Coffee Table Top Drawer Round,97990,,,False,
"Antique Oak Coffee Table Oval top drawer quarter sawn oak 1900's 42"" Library ",78500,,,False,
Mid Century Hollywood Regency Black Gilt Barley Twist Beveled Glass Coffee Table,25110,,,False,0
Vintage Mid Century Lucite Coffee Table Base ONLY,90000,,7000,False,
Vintage Mid Century Modern Teak Wood Surfboard Long Coffee Table 701-G,65000,Pre-Owned,,False,0
ANTIQUE EARLY NEO CLASSICAL ITALIAN COFFEE TABLE BENCH FLUTED LEGS LEAF TRIM,14995,,,False,
Chinese Chippendale Faux Bamboo COFFEE TABLE Hexagonal Hollywood Regency Style,67500,Pre-Owned,,True,0
